LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
7m47s       Normal    BackOff                        pod/hpa-load-20260903-014844            Back-off pulling image "busybox:1.36"
7m47s       Warning   Failed                         pod/hpa-load-20260903-014844            Error: ImagePullBackOff
7m33s       Normal    Pulling                        pod/hpa-load-20260903-014844            Pulling image "busybox:1.36"
5m58s       Warning   Failed                         pod/hpa-load-20260903-015017-1          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
5m58s       Warning   Failed                         pod/hpa-load-20260903-015017-1          Error: ErrImagePull
5m38s       Warning   Failed                         pod/hpa-load-20260903-015017-2          Error: ErrImagePull
5m38s       Warning   Failed                         pod/hpa-load-20260903-015017-2          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
5m18s       Warning   Failed                         pod/hpa-load-20260903-015017-3          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
5m18s       Warning   Failed                         pod/hpa-load-20260903-015017-3          Error: ErrImagePull
4m58s       Warning   Failed                         pod/hpa-load-20260903-015017-4          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
4m58s       Warning   Failed                         pod/hpa-load-20260903-015017-4          Error: ErrImagePull
4m28s       Warning   Unhealthy                      pod/backend-5664cdffdd-fbkjj            Readiness probe failed: Get "http://10.244.0.7:8080/api/live/rooms": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
3m44s       Normal    Started                        pod/hpa-load-20260903-015453-1          Started container hpa-load-20260903-015453-1
3m44s       Normal    Created                        pod/hpa-load-20260903-015453-4          Created container: hpa-load-20260903-015453-4
3m44s       Normal    Started                        pod/hpa-load-20260903-015453-3          Started container hpa-load-20260903-015453-3
3m44s       Normal    Created                        pod/hpa-load-20260903-015453-3          Created container: hpa-load-20260903-015453-3
3m44s       Normal    Started                        pod/hpa-load-20260903-015453-2          Started container hpa-load-20260903-015453-2
3m44s       Normal    Pulled                         pod/hpa-load-20260903-015453-5          Container image "nginx:1.27-alpine" already present on machine
3m44s       Normal    Created                        pod/hpa-load-20260903-015453-2          Created container: hpa-load-20260903-015453-2
3m44s       Normal    Pulled                         pod/hpa-load-20260903-015453-3          Container image "nginx:1.27-alpine" already present on machine
3m44s       Normal    Pulled                         pod/hpa-load-20260903-015453-2          Container image "nginx:1.27-alpine" already present on machine
3m44s       Normal    Pulled                         pod/hpa-load-20260903-015453-4          Container image "nginx:1.27-alpine" already present on machine
3m44s       Normal    Pulled                         pod/hpa-load-20260903-015453-1          Container image "nginx:1.27-alpine" already present on machine
3m44s       Normal    Created                        pod/hpa-load-20260903-015453-1          Created container: hpa-load-20260903-015453-1
3m43s       Normal    Pulled                         pod/hpa-load-20260903-015453-10         Container image "nginx:1.27-alpine" already present on machine
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-7          Started container hpa-load-20260903-015453-7
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-6          Created container: hpa-load-20260903-015453-6
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-6          Started container hpa-load-20260903-015453-6
3m43s       Normal    Pulled                         pod/hpa-load-20260903-015453-9          Container image "nginx:1.27-alpine" already present on machine
3m43s       Normal    Pulled                         pod/hpa-load-20260903-015453-6          Container image "nginx:1.27-alpine" already present on machine
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-8          Started container hpa-load-20260903-015453-8
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-9          Created container: hpa-load-20260903-015453-9
3m43s       Normal    Pulled                         pod/hpa-load-20260903-015453-7          Container image "nginx:1.27-alpine" already present on machine
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-8          Created container: hpa-load-20260903-015453-8
3m43s       Normal    Pulled                         pod/hpa-load-20260903-015453-8          Container image "nginx:1.27-alpine" already present on machine
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-5          Started container hpa-load-20260903-015453-5
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-10         Started container hpa-load-20260903-015453-10
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-10         Created container: hpa-load-20260903-015453-10
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-7          Created container: hpa-load-20260903-015453-7
3m43s       Normal    Created                        pod/hpa-load-20260903-015453-5          Created container: hpa-load-20260903-015453-5
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-4          Started container hpa-load-20260903-015453-4
3m43s       Normal    Started                        pod/hpa-load-20260903-015453-9          Started container hpa-load-20260903-015453-9
3m34s       Warning   Failed                         pod/hpa-load-20260903-015017-5          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
3m34s       Warning   Failed                         pod/hpa-load-20260903-015017-5          Error: ErrImagePull
2m27s       Normal    SuccessfulCreate               replicaset/video-service-7c84f598bd     Created pod: video-service-7c84f598bd-7qmrs
2m27s       Normal    ScalingReplicaSet              deployment/video-service                Scaled up replica set video-service-7c84f598bd from 1 to 2
2m27s       Normal    SuccessfulRescale              horizontalpodautoscaler/video-service   New size: 2; reason: cpu resource utilization (percentage of request) above target
2m26s       Normal    Created                        pod/video-service-7c84f598bd-7qmrs      Created container: video-service
2m26s       Normal    Started                        pod/video-service-7c84f598bd-7qmrs      Started container video-service
2m26s       Normal    Pulled                         pod/video-service-7c84f598bd-7qmrs      Container image "hangyin/video-service:local" already present on machine
2m21s       Warning   Unhealthy                      pod/video-service-7c84f598bd-7qmrs      Startup probe failed: Get "http://10.244.0.52:8082/actuator/health": dial tcp 10.244.0.52:8082: connect: connection refused
103s        Warning   Failed                         pod/hpa-load-20260903-015017-6          Error: ErrImagePull
103s        Warning   Failed                         pod/hpa-load-20260903-015017-6          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
101s        Normal    Killing                        pod/hpa-load-20260903-015453-7          Stopping container hpa-load-20260903-015453-7
101s        Normal    Killing                        pod/hpa-load-20260903-015453-2          Stopping container hpa-load-20260903-015453-2
101s        Normal    Killing                        pod/hpa-load-20260903-015453-9          Stopping container hpa-load-20260903-015453-9
101s        Normal    Killing                        pod/hpa-load-20260903-015453-10         Stopping container hpa-load-20260903-015453-10
101s        Normal    Killing                        pod/hpa-load-20260903-015453-1          Stopping container hpa-load-20260903-015453-1
101s        Normal    Killing                        pod/hpa-load-20260903-015453-8          Stopping container hpa-load-20260903-015453-8
101s        Normal    Killing                        pod/hpa-load-20260903-015453-5          Stopping container hpa-load-20260903-015453-5
101s        Normal    Killing                        pod/hpa-load-20260903-015453-4          Stopping container hpa-load-20260903-015453-4
101s        Normal    Killing                        pod/hpa-load-20260903-015453-3          Stopping container hpa-load-20260903-015453-3
101s        Normal    Killing                        pod/hpa-load-20260903-015453-6          Stopping container hpa-load-20260903-015453-6
87s         Normal    ScalingReplicaSet              deployment/video-service                Scaled up replica set video-service-7c84f598bd from 2 to 3
87s         Normal    SuccessfulRescale              horizontalpodautoscaler/video-service   New size: 3; reason: cpu resource utilization (percentage of request) above target
87s         Normal    SuccessfulCreate               replicaset/video-service-7c84f598bd     Created pod: video-service-7c84f598bd-lp5dl
86s         Normal    Started                        pod/video-service-7c84f598bd-lp5dl      Started container video-service
86s         Normal    Created                        pod/video-service-7c84f598bd-lp5dl      Created container: video-service
86s         Normal    Pulled                         pod/video-service-7c84f598bd-lp5dl      Container image "hangyin/video-service:local" already present on machine
83s         Warning   Failed                         pod/hpa-load-20260903-015017-7          Error: ErrImagePull
83s         Warning   Failed                         pod/hpa-load-20260903-015017-7          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
76s         Warning   Unhealthy                      pod/video-service-7c84f598bd-lp5dl      Startup probe failed: Get "http://10.244.0.53:8082/actuator/health": dial tcp 10.244.0.53:8082: connect: connection refused
63s         Warning   Failed                         pod/hpa-load-20260903-015017-8          Error: ErrImagePull
63s         Warning   Failed                         pod/hpa-load-20260903-015017-8          Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
